WeekDay,Today ,History ,Number,Counter,Friday,NoFriday,CounterFriday,CounterNoFriday,Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday
Friday,Fri Arab League is killing us ,16/12/2011,20,5401,20,0,1656,3745,0,0,0,0,0,0
Saturday,Saturday ,17/12/2011,35,5436,0,35,1656,3780,0,0,0,0,35,0
Sunday,Sunday ,18/12/2011,26,5462,0,26,1656,3806,0,0,0,0,0,26
Monday,Monday ,19/12/2011,121,5583,0,121,1656,3927,121,0,0,0,0,0
Tuesday,Tuesday ,20/12/2011,146,5729,0,146,1656,4073,0,146,0,0,0,0
Wednesday,Wednesday ,21/12/2011,38,5767,0,38,1656,4111,0,0,38,0,0,0
Thursday,Thursday ,22/12/2011,46,5813,0,46,1656,4157,0,0,0,46,0,0
Friday,Fri death protocol ,23/12/2011,31,5844,31,0,1687,4157,0,0,0,0,0,0
Saturday,Saturday ,24/12/2011,31,5875,0,31,1687,4188,0,0,0,0,31,0
Sunday,Sunday ,25/12/2011,14,5889,0,14,1687,4202,0,0,0,0,0,14
Monday,Monday ,26/12/2011,52,5941,0,52,1687,4254,52,0,0,0,0,0
Tuesday,Tuesday ,27/12/2011,38,5979,0,38,1687,4292,0,38,0,0,0,0
Wednesday,Wednesday ,28/12/2011,26,6005,0,26,1687,4318,0,0,26,0,0,0
Thursday,Thursday ,29/12/2011,43,6048,0,43,1687,4361,0,0,0,43,0,0
Friday,Fri crawl to the squares of freedom ,30/12/2011,36,6084,36,0,1723,4361,0,0,0,0,0,0
Saturday,Saturday ,31/12/2011,18,6102,0,18,1723,4379,0,0,0,0,18,0
Sunday,Sunday ,1/1/12,14,6116,0,14,1723,4393,0,0,0,0,0,14
Monday,Monday ,2/1/12,24,6140,0,24,1723,4417,24,0,0,0,0,0
Tuesday,Tuesday ,3/1/12,22,6162,0,22,1723,4439,0,22,0,0,0,0
Wednesday,Wednesday ,4/1/12,24,6186,0,24,1723,4463,0,0,24,0,0,0
Thursday,Thursday ,5/1/12,32,6218,0,32,1723,4495,0,0,0,32,0,0
Friday,Gomaa said ye help God helps ,6/1/12,34,6252,34,0,1757,4495,0,0,0,0,0,0
Saturday,Saturday ,7/1/12,23,6275,0,23,1757,4518,0,0,0,0,23,0
Sunday,Sunday ,8/1/12,23,6298,0,23,1757,4541,0,0,0,0,0,23
Monday,Monday ,9/1/12,17,6315,0,17,1757,4558,17,0,0,0,0,0
Tuesday,Tuesday ,10/1/12,40,6355,0,40,1757,4598,0,40,0,0,0,0
Wednesday,Wednesday ,11/1/12,27,6382,0,27,1757,4625,0,0,27,0,0,0
Thursday,Thursday ,12/1/12,27,6409,0,27,1757,4652,0,0,0,27,0,0
Friday,Fri support of the Syrian army free ,13/01/2012,17,6426,17,0,1774,4652,0,0,0,0,0,0
Saturday,Saturday ,14/01/2012,8,6434,0,8,1774,4660,0,0,0,0,8,0
Sunday,Sunday ,15/01/2012,26,6460,0,26,1774,4686,0,0,0,0,0,26
Monday,Monday ,16/01/2012,14,6474,0,14,1774,4700,14,0,0,0,0,0
